region,household_size,household_income,electricity_use,electricity_cost,ng_use,ng_cost,total_energy_use,total_energy_cost
WEST,2,13,42723.28,1955.06,1217.39,701.83,144647.71,2656.89
SOUTH,1,6,17889.29,713.27,104.51,261.73,28034.61,975.00
WEST,1,11,8146.63,334.51,266.93,188.14,30749.71,522.65
SOUTH,2,10,31646.53,1424.86,552.91,636.91,86765.19,2061.77
NE,2,16,20027.42,1087.00,376.68,376.04,59126.93,1463.04
SOUTH,4,15,48967.79,1895.66,357.42,439.42,85400.64,2335.08
SOUTH,6,11,49406.95,1418.04,822.15,692.46,131875.03,2110.50
SOUTH,2,8,41446.59,1237.05,0.00,0.00,41446.59,1237.05
SOUTH,1,14,13545.52,537.68,9.48,12.12,14512.02,549.80
WEST,1,9,12393.76,625.41,0.00,0.00,12393.76,625.41
WEST,1,12,26048.55,65.11,332.05,422.70,58496.25,487.81
SOUTH,5,7,32951.87,1136.61,460.04,436.31,73867.11,1572.92
SOUTH,2,13,32891.43,1004.20,500.61,651.26,83979.36,1655.46
MIDWEST,1,2,30595.98,644.85,0.00,0.00,30595.98,644.85
NE,1,11,12026.33,842.06,0.00,0.00,98033.63,3308.86
WEST,4,9,33854.62,2162.73,60.55,87.84,39937.69,2250.57
NE,2,16,30717.79,1988.48,20.02,30.44,112775.20,3064.28
WEST,2,16,19701.17,622.02,1300.16,700.87,125582.35,1322.89
SOUTH,3,9,34025.77,1257.34,177.87,377.72,51945.31,1635.06
SOUTH,3,14,53803.14,1549.78,0.00,0.00,53803.14,1549.78
MIDWEST,1,2,5441.07,377.64,479.24,904.35,54005.20,1281.99
MIDWEST,3,15,21985.27,910.09,14.10,23.23,23415.09,933.32
NE,2,16,37583.85,1730.06,0.00,0.00,79849.84,2922.94
MIDWEST,2,14,33972.06,1142.86,0.00,0.00,33972.06,1142.86
MIDWEST,1,1,17414.57,664.17,1027.27,915.35,121761.49,1579.52
NE,5,15,43461.64,2348.58,0.00,0.00,43461.64,2348.58
MIDWEST,4,16,34040.13,1307.94,883.98,659.34,124372.24,1967.28
NE,2,9,34965.69,186.16,0.00,0.00,97416.98,1230.85
SOUTH,2,9,53728.89,1747.09,0.00,0.00,53728.89,1747.09
MIDWEST,2,12,40629.20,1442.29,0.00,0.00,65619.52,1900.62
NE,2,15,20235.19,1347.02,901.82,1384.58,113020.98,2731.60
MIDWEST,2,13,30092.56,1036.65,498.31,499.38,80187.87,1535.72
WEST,4,13,91317.70,3497.17,0.00,0.00,91317.70,3497.17
MIDWEST,2,16,40121.48,1523.05,1738.52,1289.11,217651.23,2812.16
NE,3,11,32983.04,437.54,726.39,1044.58,108269.17,1482.12
SOUTH,2,15,27868.22,913.75,424.12,481.09,70527.71,1394.84
MIDWEST,2,14,15093.71,624.81,927.04,646.26,108156.16,1271.07
SOUTH,4,16,77702.36,2579.28,1124.96,1261.09,194817.90,3840.37
WEST,1,12,5872.56,364.17,179.43,151.06,22005.56,515.23
NE,2,11,47211.00,1712.81,0.00,0.00,47211.00,1712.81
SOUTH,4,16,45220.12,1405.98,563.02,508.93,101510.16,1914.91
WEST,2,14,19492.16,1644.89,0.00,0.00,19492.16,1644.89
WEST,2,9,20262.44,1379.96,0.00,0.00,73291.53,2665.59
NE,2,13,14107.23,858.50,0.00,0.00,18345.72,963.68
MIDWEST,4,15,20481.83,1046.10,0.00,0.00,20481.83,1046.10
WEST,4,15,32953.66,2446.33,628.37,968.48,97641.74,3414.81
SOUTH,3,14,30865.67,1183.31,896.82,1052.91,123418.57,2236.22
NE,3,11,17964.51,777.26,326.84,268.74,50997.29,1046.00
SOUTH,1,9,31960.74,1389.12,9.92,14.53,32991.72,1403.65
WEST,2,14,15624.46,784.69,224.51,386.23,37034.36,1170.92
MIDWEST,2,15,45053.51,2390.43,1427.54,1116.36,191749.62,3506.79
SOUTH,1,16,15493.18,638.56,0.00,0.00,15493.18,638.56
SOUTH,2,15,24428.06,869.82,336.84,458.81,59388.60,1328.63
MIDWEST,2,11,28560.63,1502.78,788.38,806.87,109411.63,2309.65
WEST,2,15,29528.49,1049.02,1796.59,896.97,182565.43,1945.99
SOUTH,2,9,31483.35,1102.84,0.00,0.00,31483.35,1102.84
NE,3,14,15258.76,1276.88,620.52,1290.50,79191.86,2567.38
MIDWEST,2,15,42192.04,2071.37,371.51,505.12,79741.19,2576.49
SOUTH,2,5,26737.37,939.24,0.00,0.00,26737.37,939.24
WEST,1,9,20111.37,811.04,1460.95,749.38,144172.84,1560.42
NE,4,2,39065.33,2881.34,0.00,0.00,39065.33,2881.34
MIDWEST,1,12,20100.78,558.46,1.37,0.89,20237.67,559.35
WEST,1,15,30410.21,1542.53,291.46,503.96,60489.70,2046.49
SOUTH,3,6,86574.00,3226.06,0.00,0.00,86574.00,3226.06
SOUTH,2,1,24552.70,1362.66,533.42,556.56,80136.82,1919.22
SOUTH,4,16,130782.36,4077.66,195.31,213.32,150028.53,4289.55
NE,2,13,31036.44,1640.77,0.00,0.00,124759.42,3345.44
NE,2,12,15564.41,1032.30,0.00,0.00,84755.32,2141.35
MIDWEST,1,12,11300.40,620.66,555.77,443.24,68753.86,1063.90
SOUTH,2,7,15612.77,561.92,349.19,518.46,51512.95,1080.38
MIDWEST,6,10,15377.89,579.30,0.00,0.00,15377.89,579.30
SOUTH,3,8,23907.61,1260.23,0.00,0.00,23907.61,1260.23
WEST,5,10,56266.38,2122.35,306.19,299.82,88173.27,2422.17
SOUTH,3,16,54308.63,1800.73,0.00,0.00,54308.63,1800.73
MIDWEST,2,11,61908.61,2085.51,1683.50,1445.29,230527.06,3530.80
NE,1,11,7425.17,434.70,260.09,248.73,34304.28,683.43
SOUTH,2,13,33198.62,1193.44,0.00,0.00,33198.62,1193.44
WEST,4,9,16111.14,526.47,500.08,448.58,60472.91,975.05
NE,2,10,24852.00,1613.23,375.67,707.42,63422.66,2320.65
SOUTH,1,15,12200.17,476.18,276.35,417.88,36655.91,894.06
MIDWEST,1,4,21018.22,523.91,0.00,0.00,21018.22,523.91
NE,1,3,16288.52,815.15,0.00,0.00,69578.63,2117.98
SOUTH,2,11,46486.42,1189.87,389.55,376.87,85079.04,1566.74
MIDWEST,2,13,41138.22,1640.07,458.56,473.07,87999.36,2113.14
MIDWEST,1,14,21832.63,762.16,861.53,833.48,110564.74,1595.64
WEST,7,15,54193.04,4224.74,265.24,432.59,81478.81,4657.33
SOUTH,2,3,60206.07,1737.58,0.00,0.00,60206.07,1737.58
MIDWEST,1,6,21171.25,901.36,0.00,0.00,186898.32,3809.67
NE,2,9,21384.50,1038.22,0.00,0.00,94189.04,2143.44
SOUTH,2,11,42959.19,1105.83,0.00,0.00,42959.19,1105.83
MIDWEST,7,13,37247.69,1152.50,865.26,741.56,126940.07,1894.06
WEST,2,16,64580.32,1925.41,1212.87,670.66,178071.40,2596.07
NE,2,14,61584.35,1181.06,0.00,0.00,61584.35,1181.06
SOUTH,2,1,40857.91,1224.72,0.00,0.00,40857.91,1224.72
SOUTH,1,7,44976.00,1541.23,0.00,0.00,44976.00,1541.23
MIDWEST,2,14,37174.66,1505.68,345.19,381.34,72186.84,1887.02
SOUTH,2,16,29988.35,874.62,0.00,0.00,29988.35,874.62
SOUTH,5,9,43980.40,1428.49,1074.11,687.57,149973.98,2116.06
WEST,2,7,55273.65,1953.59,946.51,872.16,145953.61,2825.75
MIDWEST,1,6,82702.13,3356.34,0.00,0.00,82702.13,3356.34
WEST,6,15,42438.45,1275.79,564.86,662.24,102981.57,1938.03
SOUTH,2,13,30783.87,1127.29,1132.45,1057.79,144552.95,2185.08
NE,2,9,19671.34,739.40,0.00,0.00,73091.93,1704.92
SOUTH,2,13,13341.45,526.26,239.49,407.12,37427.64,933.38
MIDWEST,1,4,15618.25,545.22,0.00,0.00,138615.89,2874.59
NE,2,13,15694.96,1048.97,0.00,0.00,97000.68,2192.64
MIDWEST,2,16,34963.27,969.53,1110.77,674.71,148741.54,1644.24
SOUTH,4,15,100245.52,3451.63,0.00,0.00,100245.52,3451.63
SOUTH,2,10,29868.61,1242.51,226.85,186.13,52909.10,1428.64
WEST,4,12,13703.70,1021.30,166.74,230.84,30706.19,1252.14
SOUTH,4,1,41093.27,1573.39,0.00,0.00,41093.27,1573.39
SOUTH,4,11,69818.27,3112.86,498.93,655.63,119783.55,3768.49
SOUTH,7,11,29648.30,1170.35,0.00,0.00,29648.30,1170.35
WEST,1,4,37999.40,1140.56,0.00,0.00,98881.51,2297.73
WEST,4,16,31112.02,1784.96,497.65,866.24,82136.61,2651.20
MIDWEST,2,13,6622.60,561.98,0.00,0.00,70446.11,1774.01
NE,1,15,8671.14,502.51,8.79,7.74,43939.35,1145.39
WEST,5,10,82213.35,3086.55,737.54,473.19,149799.73,3559.74
NE,4,16,104180.25,5754.90,862.66,899.87,193523.56,6654.77
SOUTH,1,15,81588.16,3346.85,0.00,0.00,81588.16,3346.85
NE,4,16,15631.38,1249.07,0.00,0.00,75290.25,2291.31
MIDWEST,4,16,54817.76,2434.91,1680.92,1190.43,224801.22,3625.34
SOUTH,4,1,27438.72,805.20,0.00,0.00,27438.72,805.20
WEST,2,16,55301.63,4264.71,1311.88,2065.53,186944.50,6330.24
NE,5,6,28826.95,1151.80,0.00,0.00,91880.94,2377.93
WEST,3,14,26905.17,867.67,868.78,509.99,103826.59,1377.66
NE,3,15,20508.59,989.58,0.00,0.00,165217.57,4115.18
NE,3,15,60673.60,1825.23,983.78,1485.55,161069.63,3310.78
SOUTH,1,14,29991.97,980.53,483.16,593.18,80083.00,1573.71
SOUTH,2,16,94778.57,3200.48,1065.45,1142.83,199875.04,4343.31
MIDWEST,2,13,14637.32,805.88,682.66,543.34,84150.83,1349.22
SOUTH,3,9,35452.65,1338.41,863.77,1124.08,126008.61,2462.49
WEST,2,12,19533.89,1496.56,569.86,984.82,77429.89,2481.38
WEST,1,12,13938.70,447.15,0.00,0.00,13938.70,447.15
MIDWEST,1,9,13865.28,401.95,491.14,417.80,64131.37,819.75
MIDWEST,1,4,49539.31,1643.34,0.00,0.00,49539.31,1643.34
WEST,4,16,28344.19,842.72,864.85,749.64,105365.12,1592.36
